Run,Molecular weight,Specific impulse,Isentropic exponent,Total temperature,Characeteristic velocity
N/A,[g/mol],[sec],[-],[K],[m/s]
1,13.545,163.2,1.234,1090.0,1093.8967200000002
2,13.588,163.6,1.2357,1093.0,1096.9447200000002
3,13.633,164.0,1.2375,1097.0,1100.0232
4,13.678,164.4,1.2394,1101.0,1103.10168
5,13.726,164.9,1.2411,1105.0,1106.14968
6,13.774,165.3,1.2429,1109.0,1109.2891200000001
7,13.823,165.7,1.2448,1113.0,1112.42856
8,13.873,166.1,1.2467,1118.0,1115.62896
9,13.925,166.5,1.2486,1122.0,1118.85984
10,13.978,166.9,1.2505,1126.0,1122.0907200000001
11,14.033,167.4,1.2524,1131.0,1125.38256
12,14.089,167.8,1.2543,1136.0,1128.70488
13,14.146,168.2,1.2562,1141.0,1132.08816
14,14.205,168.7,1.2581,1146.0,1135.5019200000002
15,14.266,169.2,1.26,1151.0,1138.97664
16,14.328,169.6,1.262,1157.0,1142.51232
17,14.391,170.1,1.2639,1163.0,1146.10896
18,14.457,170.6,1.2658,1168.0,1149.7360800000001
19,14.523,171.1,1.2678,1175.0,1153.48512
20,14.592,171.6,1.2697,1181.0,1157.26464
21,14.663,172.1,1.2715,1188.0,1161.1356
22,14.736,172.6,1.2734,1195.0,1165.098
23,14.811,173.2,1.2753,1202.0,1169.12136
24,14.888,173.7,1.2772,1210.0,1173.26664
25,14.967,174.3,1.279,1218.0,1177.50336
26,15.049,174.9,1.2809,1226.0,1181.8315200000002
27,15.133,175.5,1.2827,1235.0,1186.31208
28,15.22,176.1,1.2845,1244.0,1190.8536000000001
29,15.309,176.8,1.2863,1254.0,1195.5170400000002
30,15.402,177.4,1.288,1264.0,1200.3024
31,15.497,178.1,1.2897,1274.0,1205.20968
32,15.595,178.8,1.2914,1285.0,1210.2084
33,15.697,179.5,1.293,1296.0,1215.32904
34,15.802,180.2,1.2946,1308.0,1220.54112
35,15.911,181.0,1.2962,1320.0,1225.9056
36,16.022,181.7,1.2978,1333.0,1231.3615200000002
37,16.138,182.5,1.2993,1346.0,1236.90888
38,16.257,183.3,1.3008,1360.0,1242.5476800000001
39,16.38,184.1,1.3023,1374.0,1248.27792
40,16.507,184.9,1.3038,1389.0,1254.0996
41,16.638,185.7,1.3052,1404.0,1260.01272
42,16.773,186.6,1.3067,1419.0,1265.9868000000001
43,16.911,187.4,1.3081,1435.0,1272.02184
44,17.054,188.3,1.3095,1451.0,1278.1178400000001
45,17.201,189.2,1.3109,1467.0,1284.2748000000001
46,17.353,190.0,1.3123,1484.0,1290.46224
47,17.508,190.9,1.3138,1501.0,1296.71064
48,17.668,191.8,1.3152,1518.0,1302.9590400000002
49,17.832,192.7,1.3166,1536.0,1309.2684000000002
50,18.001,193.6,1.3181,1554.0,1315.57776
51,18.174,194.5,1.3196,1572.0,1321.9176
52,18.352,195.4,1.3211,1590.0,1328.25744
53,18.535,196.3,1.3226,1609.0,1334.5972800000002
54,18.723,197.1,1.3242,1628.0,1340.93712
55,18.916,198.0,1.3258,1647.0,1347.30744
56,19.115,198.9,1.3274,1666.0,1353.6472800000001
57,19.318,199.8,1.329,1685.0,1359.98712
58,19.405,201.7,1.3292,1723.0,1373.2154400000002
59,19.592,203.9,1.3259,1775.0,1387.35816
60,19.8,206.0,1.3222,1829.0,1401.0741600000001
61,20.013,208.0,1.3185,1882.0,1414.36344
62,20.231,210.0,1.3149,1937.0,1427.2564800000002
63,20.453,211.9,1.3113,1991.0,1439.7228
64,20.68,213.7,1.3078,2046.0,1451.7928800000002
65,20.911,215.5,1.3044,2101.0,1463.4362400000002
66,21.147,217.2,1.301,2156.0,1474.6224
67,21.386,218.9,1.2977,2211.0,1485.3818400000002
68,21.63,220.5,1.2945,2266.0,1495.6840800000002
69,21.877,222.0,1.2913,2321.0,1505.4681600000001
70,22.129,223.4,1.2882,2376.0,1514.7950400000002
71,22.384,224.8,1.2852,2430.0,1523.5428000000002
72,22.642,226.1,1.2823,2483.0,1531.7724
73,22.904,227.3,1.2794,2536.0,1539.42288
74,23.168,228.3,1.2767,2587.0,1546.37232
75,23.434,229.3,1.2741,2637.0,1552.62072
76,23.702,230.2,1.2715,2684.0,1558.04616
77,23.97,230.9,1.2691,2729.0,1562.5572
78,24.237,231.5,1.2669,2771.0,1566.0928800000002
79,24.502,231.9,1.2649,2809.0,1568.5312800000002
80,24.764,232.2,1.263,2843.0,1569.84192
81,25.022,232.2,1.2613,2872.0,1569.90288
82,25.274,232.1,1.2598,2895.0,1568.8056000000001
83,25.52,231.8,1.2585,2915.0,1566.48912
84,25.761,231.3,1.2575,2929.0,1563.07536
85,25.995,230.7,1.2566,2938.0,1558.65576
86,26.223,229.9,1.2559,2943.0,1553.32176
87,26.445,229.0,1.2554,2944.0,1547.13432
88,26.662,228.0,1.255,2941.0,1540.12392
89,26.873,226.8,1.2548,2935.0,1532.4124800000002
90,27.079,225.6,1.2547,2925.0,1524.0
91,27.28,224.2,1.2548,2912.0,1514.9474400000001
92,27.476,222.8,1.2551,2895.0,1505.22432
93,27.666,221.3,1.2555,2875.0,1494.86112
94,27.849,219.6,1.256,2852.0,1483.79688
95,28.026,217.8,1.2568,2825.0,1472.0316
96,28.196,215.9,1.2578,2794.0,1459.44336
97,28.357,213.9,1.2589,2759.0,1446.00168
98,28.509,211.7,1.2603,2720.0,1431.58464
99,28.649,209.4,1.262,2675.0,1416.1008000000002
100,28.778,206.9,1.264,2625.0,1399.39776
